IDRESEAU;LIBELLE;OBSTACLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
69107;Accès Gare-Marchandise;Ruisseau;830000;1;855+637;e6e30abe-6667-11e3-a7ff-01f464e0362d;891572.4717999995;6252757.1228;5.361840735858762;43.34817013200091;43.348170132,5.36184073586;43.348170132,5.36184073586;"{""type"": ""Point"", ""coordinates"": [5.361840735858762, 43.348170131977035]}"
59812;Viaduc de Rombas;Déviation RN 412;085000;1;339+471;e7078530-6667-11e3-a7ff-01f464e0362d;925693.0128000006;6910708.527399998;6.100507657494576;49.2561531187545;49.2561531188,6.10050765749;49.2561531187,6.10050765749;"{""type"": ""Point"", ""coordinates"": [6.100507657494576, 49.25615311873443]}"
48276;Galerie d'Annecy;Avenue de Brogny;897000;1;039+936;e91db842-6667-11e3-a7ff-01f464e0362d;942206.3479999974;6538635.419799998;6.124946590783466;45.90426205297602;45.904262053,6.12494659078;45.904262053,6.12494659078;"{""type"": ""Point"", ""coordinates"": [6.124946590783467, 45.90426205295899]}"
64315;;CD 1;115000;1;072+652;e55f13ae-6667-11e3-a7ff-01f464e0362d;1021968.4979000017;6777097.2238;7.320487699827768;48.01496515325047;48.0149651533,7.32048769983;48.0149651532,7.32048769983;"{""type"": ""Point"", ""coordinates"": [7.32048769982777, 48.014965153224004]}"
69758;Pont de la Garrigue;Canal de Carpentras;926000;1;019+297;e6d10dea-6667-11e3-a7ff-01f464e0362d;862746.0332999974;6332431.314199999;5.031887488813764;44.07203801851128;44.0720380185,5.03188748881;44.0720380185,5.03188748881;"{""type"": ""Point"", ""coordinates"": [5.031887488813764, 44.07203801848921]}"
52229;la Masse;CR  N01;395000;1;051+870;e90bdba2-6667-11e3-a7ff-01f464e0362d;605881.0386999995;6858849.884500001;1.718040823994016;48.822835081315404;48.8228350813,1.71804082399;48.8228350813,1.71804082399;"{""type"": ""Point"", ""coordinates"": [1.718040823994015, 48.822835081293164]}"
51631;;VC 10;654000;1;167+900;e5d7058e-6667-11e3-a7ff-01f464e0362d;389312.4636999965;6298942.298500001;-0.856287719069047;43.72121632618323;43.7212163262,-0.856287719069;43.7212163262,-0.856287719069;"{""type"": ""Point"", ""coordinates"": [-0.856287719069049, 43.72121632616026]}"
45228;de Lestrade;;695000;1;366+675;e87f5606-6667-11e3-a7ff-01f464e0362d;660130.6098999977;6553702.649099998;2.48407286791732;46.08193158578308;46.0819315858,2.48407286792;46.0819315858,2.48407286792;"{""type"": ""Point"", ""coordinates"": [2.484072867917319, 46.08193158576657]}"
164680;Orsay (1er OA);;420000;1;003+000;2501b2c6-19c0-11e5-b9ff-01fc64e0362d;648461.1128999963;6858289.133000001;2.298032808628117;48.82260295207316;48.8226029521,2.29803280863;48.8226029521,2.29803280863;"{""type"": ""Point"", ""coordinates"": [2.298032808628116, 48.822602952050914]}"
40938;PRO 71-17 - 118904;VC 16;752000;1;248+548;e9471e40-6667-11e3-a7ff-01f464e0362d;811502.865699999;6655191.8486;4.467151946770732;46.98762099724569;46.9876209972,4.46715194677;46.9876209972,4.46715194677;"{""type"": ""Point"", ""coordinates"": [4.467151946770732, 46.98762099723181]}"
