GUID;IDRESEAU;CODE_LIGNE;LIB_LIGNE;PK;LIBELLE;RG_TRONCON;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
14401F54666811E38CFF01F464E0362D;29324;830000;Ligne de Paris-Lyon à Marseille-St-Charles;015+155;Crosne;1;14401f54-6668-11e3-8cff-01f464e0362d;659084.9227000028;6847330.001600001;2.443776663247819;48.724802274536856;48.7248022745,2.44377666325;48.7248022745,2.44377666325;"{""type"": ""Point"", ""coordinates"": [2.443776663247818, 48.72480227451411]}"
14401D74666811E38CFF01F464E0362D;29401;830000;Ligne de Paris-Lyon à Marseille-St-Charles;515+314;Guillotière;1;14401d74-6668-11e3-8cff-01f464e0362d;843853.5899000019;6514858.5079;4.849440324177123;45.71814560749422;45.7181456075,4.84944032418;45.7181456075,4.84944032418;"{""type"": ""Point"", ""coordinates"": [4.849440324177122, 45.718145607476636]}"
14400606666811E38CFF01F464E0362D;29181;570000;Ligne de Paris-Austerlitz à Bordeaux-St-Jean;488+034;Les Perrotins;3;14400606-6668-11e3-8cff-01f464e0362d;474032.3275000006;6477768.1281;0.113068198428842;45.36212773971024;45.3621277397,0.113068198429;45.3621277397,0.113068198429;"{""type"": ""Point"", ""coordinates"": [0.11306819842884, 45.36212773969166]}"
1440042C666811E38CFF01F464E0362D;29155;470000;Ligne de Savenay à Landerneau;564+150;St-Avé;1;1440042c-6668-11e3-8cff-01f464e0362d;270172.43940000236;6745788.0298000015;-2.732926757421938;47.67198693801599;47.671986938,-2.73292675742;47.671986938,-2.73292675742;"{""type"": ""Point"", ""coordinates"": [-2.732926757421941, 47.671986937987654]}"
1442EBBC666811E38CFF01F464E0362D;29357;830000;Ligne de Paris-Lyon à Marseille-St-Charles;326+000;Gevrey;1;1442ebbc-6668-11e3-8cff-01f464e0362d;851039.230899997;6682084.368999999;4.996121950534343;47.221873974072125;47.2218739741,4.99612195053;47.221873974,4.99612195053;"{""type"": ""Point"", ""coordinates"": [4.996121950534343, 47.221873974041266]}"
143FFCBA666811E38CFF01F464E0362D;29127;420000;Ligne de Paris-Montparnasse à Brest;140+395;Condé-sur-Huisne;1;143ffcba-6668-11e3-8cff-01f464e0362d;541093.738499999;6811821.659499999;0.853355722300787;48.387251912096175;48.3872519121,0.853355722301;48.3872519121,0.853355722301;"{""type"": ""Point"", ""coordinates"": [0.853355722300785, 48.38725191207168]}"
143FB71A666811E38CFF01F464E0362D;29388;800000;Ligne de Givors-Canal à Grezan;546+996;Ampuis;1;143fb71a-6668-11e3-8cff-01f464e0362d;842525.8552000001;6490373.099399999;4.825101847267838;45.49799783131335;45.4979978313,4.82510184727;45.4979978313,4.82510184727;"{""type"": ""Point"", ""coordinates"": [4.825101847267838, 45.49799783129515]}"
1440CC38666811E38CFF01F464E0362D;29265;590000;Ligne des Aubrais-Orléans à Montauban-Ville-Bourbon;204+537;Chagnot;2;1440cc38-6668-11e3-8cff-01f464e0362d;631480.9175999984;6679876.325599998;2.094638891391145;47.215647106118105;47.2156471061,2.09463889139;47.2156471061,2.09463889139;"{""type"": ""Point"", ""coordinates"": [2.094638891391143, 47.21564710608721]}"
1440D1BC666811E38CFF01F464E0362D;29242;590000;Ligne des Aubrais-Orléans à Montauban-Ville-Bourbon;292+651;St-Marcel;2;1440d1bc-6668-11e3-8cff-01f464e0362d;584973.0390999988;6613314.308699999;1.496976471570445;46.6100296112543;46.6100296113,1.49697647157;46.6100296112,1.49697647157;"{""type"": ""Point"", ""coordinates"": [1.496976471570443, 46.61002961123932]}"
144027AA666811E38CFF01F464E0362D;29092;216000;Ligne de Fretin à Fréthun (LGV);080+584;Ruminghem;1;144027aa-6668-11e3-8cff-01f464e0362d;643211.608599998;7083376.824000001;2.195296664893581;50.84412155488646;50.8441215549,2.19529666489;50.8441215549,2.19529666489;"{""type"": ""Point"", ""coordinates"": [2.19529666489358, 50.84412155487368]}"
14416BA8666811E38CFF01F464E0362D;29497;925000;Ligne d'Avignon à Miramas;052+236;Les Aubes;1;14416ba8-6668-11e3-8cff-01f464e0362d;867865.8616999984;6288071.3292;5.081185461880255;43.67176874477413;43.6717687448,5.08118546188;43.6717687448,5.08118546188;"{""type"": ""Point"", ""coordinates"": [5.081185461880254, 43.671768744751034]}"
144008DC666811E38CFF01F464E0362D;29377;860000;Ligne de Dijon-Ville à St-Amour;396+683;St-Usuge;1;144008dc-6668-11e3-8cff-01f464e0362d;867753.2550000027;6621424.0951999985;5.19462835747566;46.67191774780244;46.6719177478,5.19462835748;46.6719177478,5.19462835748;"{""type"": ""Point"", ""coordinates"": [5.19462835747566, 46.671917747787646]}"
1442A368666811E38CFF01F464E0362D;29527;680000;Ligne d'Elne à Arles-sur-Tech;492+333;Le Boulou;1;1442a368-6668-11e3-8cff-01f464e0362d;688394.5131999999;6161230.861200001;2.858893885139721;42.55074942166162;42.5507494217,2.85889388514;42.5507494216,2.85889388514;"{""type"": ""Point"", ""coordinates"": [2.85889388513972, 42.550749421635956]}"
1442A734666811E38CFF01F464E0362D;29355;830000;Ligne de Paris-Lyon à Marseille-St-Charles;374+500;Fontaines;1;1442a734-6668-11e3-8cff-01f464e0362d;836202.112499997;6639052.407400001;4.787237039695773;46.837755588105686;46.8377555881,4.7872370397;46.8377555881,4.7872370397;"{""type"": ""Point"", ""coordinates"": [4.787237039695773, 46.837755588091376]}"
