IDRESEAU;LIBELLE;CODE_LIGNE;LONGUEUR;OBSTACLE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
67070;Madagascar;878000;81;Gabarit à 1 voie;1;070+179;e5be7358-6667-11e3-a7ff-01f464e0362d;920191.6862000003;6594522.1305;5.867345015593985;46.41467105081609;46.4146710508,5.86734501559;46.4146710508,5.86734501559;"{""type"": ""Point"", ""coordinates"": [5.867345015593987, 46.414671050800536]}"
69598;Vallera 2;946000;32;;1;068+234;e5a747a8-6667-11e3-a7ff-01f464e0362d;1065835.9108000025;6334885.757800002;7.565157942250012;44.017769531097564;44.0177695311,7.56515794225;44.0177695311,7.56515794225;"{""type"": ""Point"", ""coordinates"": [7.565157942250013, 44.01776953107534]}"
69525;Anthénor 2;935000;58;;1;859+625;e567448e-6667-11e3-a7ff-01f464e0362d;879181.2216999978;6250664.7511;5.208433799602013;43.33258061982132;43.3325806198,5.2084337996;43.3325806198,5.2084337996;"{""type"": ""Point"", ""coordinates"": [5.208433799602013, 43.33258061979741]}"
39237;Saillens Hélicoidal;672000;1650;Gabarit à 1 voie;1;139+644;e648e5ee-6667-11e3-a7ff-01f464e0362d;602512.6960000023;6168105.117800001;1.813525933286656;42.6060574446053;42.6060574446,1.81352593329;42.6060574446,1.81352593329;"{""type"": ""Point"", ""coordinates"": [1.813525933286655, 42.60605744457974]}"
69455;Quatre-Tours;905000;129;;2;416+296;e5678532-6667-11e3-a7ff-01f464e0362d;897636.878700003;6266629.201299999;5.44184731648909;43.471252068706136;43.4712520687,5.44184731649;43.4712520687,5.44184731649;"{""type"": ""Point"", ""coordinates"": [5.44184731648909, 43.471252068682546]}"
49105;Larchat;905000;241;Gabarit à 1 voie;1;199+838;e607880a-6667-11e3-a7ff-01f464e0362d;909547.9782999977;6409685.4243;5.648161358368036;44.75467783447428;44.7546778345,5.64816135837;44.7546778345,5.64816135837;"{""type"": ""Point"", ""coordinates"": [5.648161358368035, 44.75467783445401]}"
42892;Buriches;784000;46;Gabarit à 1 voie;1;085+708;e55ef296-6667-11e3-a7ff-01f464e0362d;771894.4301000014;6520675.774799999;3.925307368572051;45.781906916024894;45.781906916,3.92530736857;45.781906916,3.92530736857;"{""type"": ""Point"", ""coordinates"": [3.92530736857205, 45.78190691600749]}"
57712;Grand-Jardin;390000;996;Gabarit à 2 voies;1;190+411;e589450a-6667-11e3-a7ff-01f464e0362d;497976.4073000029;6897049.902399998;0.230950841330909;49.14135001013813;49.1413500101,0.230950841331;49.1413500101,0.230950841331;"{""type"": ""Point"", ""coordinates"": [0.230950841330907, 49.14135001011749]}"
63782;Pomeyrols;790000;353;;1;580+237;e589542c-6667-11e3-a7ff-01f464e0362d;765625.7595999986;6408731.701699998;3.829499045361667;44.774626017754095;44.7746260178,3.82949904536;44.7746260177,3.82949904536;"{""type"": ""Point"", ""coordinates"": [3.829499045361667, 44.77462601773388]}"
86774;Tranchée couverte St André;752000;490;Gabarit à 2 voies;1;709+624;e8c93690-6667-11e3-a7ff-01f464e0362d;889864.7880999967;6254422.305199999;5.341408163155759;43.36360099898163;43.363600999,5.34140816316;43.363600999,5.34140816316;"{""type"": ""Point"", ""coordinates"": [5.341408163155757, 43.36360099895779]}"
64981;La Prêtrière;852000;300;Gabarit à 2 voies;1;466+356;e59881f2-6667-11e3-a7ff-01f464e0362d;972397.3568999991;6711041.127300002;6.615758330243513;47.44358370448511;47.4435837045,6.61575833024;47.4435837045,6.61575833024;"{""type"": ""Point"", ""coordinates"": [6.615758330243513, 47.443583704455484]}"
47177;de Fontannes;790000;161;;1;545+934;e5a18852-6667-11e3-a7ff-01f464e0362d;752614.7933000028;6430337.5145;3.667359320104675;44.970253441929046;44.9702534419,3.6673593201;44.9702534419,3.6673593201;"{""type"": ""Point"", ""coordinates"": [3.667359320104674, 44.97025344190937]}"
45079;Col Bonnet;912000;865;Gabarit à 1 voie;1;075+675;e702a452-6667-11e3-a7ff-01f464e0362d;894806.7691999972;6391582.822700001;5.454884288101782;44.59607651587363;44.5960765159,5.4548842881;44.5960765159,5.4548842881;"{""type"": ""Point"", ""coordinates"": [5.454884288101782, 44.59607651585293]}"
42873;Bois-des-Ruines;784000;54;Gabarit à 1 voie;1;077+433;e99f60f4-6667-11e3-a7ff-01f464e0362d;766231.4838000014;6525204.894699998;3.853058824250033;45.82326284565184;45.8232628457,3.85305882425;45.8232628456,3.85305882425;"{""type"": ""Point"", ""coordinates"": [3.853058824250033, 45.82326284563455]}"
155771;BERTHIER EXTREMITE;962000;32;;1;009+214;cc1d5392-9248-11e3-8cff-010c64e0362d;649707.1626000032;6866201.337000001;2.314067209901422;48.89385468055656;48.8938546806,2.3140672099;48.8938546805,2.3140672099;"{""type"": ""Point"", ""coordinates"": [2.314067209901421, 48.89385468053467]}"
48316;Aires;897000;262;Gabarit à 1 voie;1;058+111;e912bed4-6667-11e3-a7ff-01f464e0362d;947854.266400002;6552248.885899998;6.204861988646144;46.024713912144236;46.0247139121,6.20486198865;46.0247139121,6.20486198865;"{""type"": ""Point"", ""coordinates"": [6.204861988646146, 46.024713912127545]}"
49020;Grand-Brion;905000;1176;Gabarit à 1 voie;1;156+768;e892bc90-6667-11e3-a7ff-01f464e0362d;911699.3103;6441083.430300001;5.688834396036186;45.03655267474776;45.0365526747,5.68883439604;45.0365526747,5.68883439604;"{""type"": ""Point"", ""coordinates"": [5.688834396036186, 45.03655267472827]}"
47489;de Chilhac;798000;130;Gabarit à 1 voie;1;057+769;e601b4d2-6667-11e3-a7ff-01f464e0362d;771422.8706;6442424.510600001;3.907662558023018;45.07738821429586;45.0773882143,3.90766255802;45.0773882143,3.90766255802;"{""type"": ""Point"", ""coordinates"": [3.907662558023018, 45.07738821427647]}"
47756;de Sylans;884000;619;Gabarit à 1 voie;1;045+702;e682bcbe-6667-11e3-a7ff-01f464e0362d;904540.230899997;6565056.673599999;5.650814673892587;46.15442707754719;46.1544270775,5.65081467389;46.1544270775,5.65081467389;"{""type"": ""Point"", ""coordinates"": [5.650814673892588, 46.15442707753087]}"
136696;Tunnel;070000;493;;1;452+220;e9c31866-6667-11e3-a7ff-01f464e0362d;1016160.674999997;6855797.1598000005;7.300161840129367;48.72480542129685;48.7248054213,7.30016184013;48.7248054213,7.30016184013;"{""type"": ""Point"", ""coordinates"": [7.300161840129368, 48.7248054212741]}"
63759;Moulinet;805000;33;;1;747+640;e943edb2-6667-11e3-a7ff-01f464e0362d;795578.9948000014;6349536.579399999;4.196715050046013;44.23832555238521;44.2383255524,4.19671505005;44.2383255524,4.19671505005;"{""type"": ""Point"", ""coordinates"": [4.196715050046013, 44.23832555236358]}"
51918;Mercury;660000;38;Gabarit à 1 voie;1;221+832;e6f567e2-6667-11e3-a7ff-01f464e0362d;343956.0675000027;6257449.001600001;-1.389563201806382;43.327104090144275;43.3271040901,-1.38956320181;43.3271040901,-1.38956320181;"{""type"": ""Point"", ""coordinates"": [-1.389563201806383, 43.32710409012035]}"
32023;Alleyrat;712000;171;Gabarit à 1 voie;1;409+454;e6528412-6667-11e3-a7ff-01f464e0362d;634089.4795999974;6543377.396000002;2.14855107793325;45.98692648888776;45.9869264889,2.14855107793;45.9869264889,2.14855107793;"{""type"": ""Point"", ""coordinates"": [2.148551077933249, 45.98692648887096]}"
48747;Grandes Murailles;900000;672;Gabarit à 2 voies;1;231+748;e6531b8a-6667-11e3-a7ff-01f464e0362d;983319.0355999991;6461927.0524;6.609480617367367;45.19837106762286;45.1983710676,6.60948061737;45.1983710676,6.60948061737;"{""type"": ""Point"", ""coordinates"": [6.609480617367367, 45.198371067603816]}"
46086;Lestempe;721000;1448;Gabarit à 1 voie;1;479+037;e953f120-6667-11e3-a7ff-01f464e0362d;674315.2599999979;6466514.5614;2.672307827371888;45.297515359670086;45.2975153597,2.67230782737;45.2975153597,2.67230782737;"{""type"": ""Point"", ""coordinates"": [2.672307827371887, 45.297515359651314]}"
